Grade,Chapter,Context,Question,CorrectAnswer,UniquePart,Difficulty
10,Ancient Settlements,"Among them, some are methods in which the remains were deposited in a clay urn and buried. Those tombs are called urn burials.",What is the term for tombs where remains were deposited in a clay urn and buried?,'Urn burials','urn burials',Medium
10,Ancient Settlements,the method followed there was depositing the clay pots of remains in a tub made out of raw clay in the shape of a boat.,What was the method used to dispose of the remains in the ancient civilization?,Depositing the clay pots of remains in a tub made out of raw clay in the shape of a boat.,Deposit clay pots,Medium
10,Ancient Settlements,The walls of the house were made of wattle and daub and the roof was thatched with something like Iluk.,What was the material used to thatch the roof of the house?,Iluk'.,'Iluk',Medium
10,Ancient Settlements,"The bones of animals which were hunted by the inmates of the house for their meals... belong to animals like deer, cattle, wild boar, and giant squirrel.",What types of animals were hunted by the inmates of the house for their meals?,"Deer, cattle, wild boar, and giant squirrel.","Deer, cattle, wild boar",Easy
10,Ancient Settlements,"This age is called the proto-historic Iron Age as well as the early Iron Age, as using of iron began in this era.",What is the name given to the age when iron was first used?,The proto-historic Iron Age and the early Iron Age.,Proto-historic Iron Age,Medium
10,Ancient Settlements,The oldest proof about the proto-historic era of Sri Lanka belongs to 2400 B.C.,What is the oldest proof about the proto-historic era of Sri Lanka?,2400 B.C.,2400 B.C.,Hard
10,Ancient Settlements,The major evidence that reflects this characteristic introduced as sedentism is the remnants of houses that have been discovered so far.,What is one piece of evidence that suggests sedentism?,The remnants of houses that have been discovered so far.,Remnants of houses,Medium
10,Ancient Settlements,The main feature of this era is that the people abandoned their hunting livelihood of pre-historic era and built permanent settlements as well as habitations.,What was the main feature of this era?,The people abandoned their hunting livelihood and built permanent settlements and habitations.,People built settlements,Medium
10,Ancient Settlements,The expansion of the small village tanks is the main index that shows in which areas the settlements in this country expanded during this period.,What is the main index that shows the expansion of settlements in the country during this period?,The expansion of the small village tanks.,Expansion of village tanks,Medium
10,Ancient Settlements,Gopalagama - villages where cowherds lived,What were the villages where cowherds lived?,Gopalagama.,Gopalagama.,Easy
10,Ancient Settlements,Kasikaragama - villages where farmers lived,What were the places where farmers lived?,Kasikaragama,Kasikaragama,Medium
10,Ancient Settlements,Kewattagama - villages where fishermen lived,What were the villages where fishermen lived?,Kewattagama.,Kewattagama.,Medium
10,Ancient Settlements,Kumbhakaragama - villages where potters lived,What were the villages where potters lived?,Kumbhakaragama.,Kumbhakaragama.,Easy
10,Ancient Settlements,Pattanagama - villages situated close to harbours,What are Pattanagama villages typically situated near?,Harbours.,near harbours,Easy
10,Ancient Settlements,Niyamgam - trading villages,What is the name of the trading villages mentioned in the context?,Niyamgam.,Niyamgam,Easy
10,Ancient Settlements,Olagam - villages around tanks deserted by people,What is Olagam?,villages around tanks deserted by people,villages around tanks deserted by people,Medium
