Chapter,Question,CorrectAnswer,UniquePart,Year
Sources of Studying History,What is the commentary written to the Mahavamsa?,Vamsatthappakasini,Vamsatthappakasini,2023
Sources of Studying History,In what name are the oldest coins found in Sri Lanka known?,Kahapana,Kahapana,2023
Ancient Settlements ,In what name was the chief of ancient village called?,Gamika,Gamika,2023
Evolution of Political Power in Sri Lanka ,The main factor which led Anuradhapura to develop as a city was?,international trade,international trade,2023
Sources of Studying History,What was the main factor which determined the value of coins in ancient Sri Lanka?,Metal weight,Metal weight,2023
Historical Knowledge and Its Practical Application , What was Gruhadanda tax ?,A tax charged from the villagers until the hiding criminals who were living in their villages were caught,A tax charged from the villagers until the hiding criminals who were living in their villages were caught,2023
Renaissance,For which city's ownership that the wars took place between Christian and Islamic believers in the middle of the 15th century?,Constantinople,Constantinople,2023
National Renaissance in Sri Lanka,Who pioneered the establishment of the Vannarpannai Saiva Pragasa Vidyalayam?,Arumuga Navalar,Arumuga Navalar,2023
Political Changes in Sri Lanka under the British,What is the organization which reflects the manner in which the persons who belong to various ethnic groups in Sri Lanka can work together for the benefit of the country without any racial or religious difference?,Ceylon National Congress,Ceylon National Congress,2023
National Renaissance in Sri Lanka,The person who initiated a movement for the protection of rights of the Buddhists in Anuradhapura was?,Walisingha Harischandra,Walisingha Harischandra,2023
Social Changes in Sri Lanka Under the British,What are the new plantation crops introduced by the Europeans to Sri Lanka?,"Cinchona, Cocoa, Tea and Rubber","Cinchona, Cocoa, Tea and Rubber",2023
Social Changes in Sri Lanka Under the British,Where is the Tea Research Institute located in Sri Lanka?,Talawakele,Talawakele,2023
Receiving of  Independence to Sri Lanka,Under which constitution did Sri Lanka become an unitary republic for the first time?,1972,1972,2023
Receiving of  Independence to Sri Lanka,What is the river which contributes most to the economic development of the country?,Mahaweli,Mahaweli,2023
Receiving of  Independence to Sri Lanka,What is the method by which Public Opinion is directly obtained on an issue of national importance?,Referendum,Referendum,2023
World Wars and Conventions,The strongest reason which led to the defeat of the Central Powers including Germany in World War one was?,that United States of America joined the Allies,that United States of America joined the Allies,2023
World Wars and Conventions,What is the main institution which represents all member countries of the United Nations Organization?,General Assembly,General Assembly,2023
World Wars and Conventions,What is the country on which harsh punishments were imposed by the Treaty of Versailles after World War I?,Germany,Germany,2023
Sources of Studying History,Who was the ancient Greek geographer who drew a map of the world including Sri Lanka?,Claudius Ptolemy,Ptolemy,2023
Sources of Studying History,Which king established the Galpota inscription?,Keerthi Sri Nissankamalla,Keerthi Sri Nissankamalla,2023
Industrial Revolution, Who is the American that invented the telephone?,Alexander Graham Bell,Graham Bell,2023
Receiving of  Independence to Sri Lanka,Who is the first Prime Minister of Sri Lanka after Independence?,D.S.Senanayake,D.S.Senanayake,2023
Renaissance,Who invented Telescope?,Galilieo Galili,Galili,2023
Renaissance,What is the nationality of Galileo Galili?,Italian,Italian,2023
Sources of Studying History,What is the text which has recorded the unbroken history of Sri Lanka?,Mahavamsa,Mahavamsa,2022
Ancient Settlements ,What is the term used for deserted tank villages?,Olagam,Olagam,2022
Evolution of Political Power in Sri Lanka ,"Who was the first ruler, considered to have divided the country into provinces and appointed ministers?",Vasabha,Vasabha,2022
Evolution of Political Power in Sri Lanka ,A king who was raised to divinity because of his great contribution to economy was?,Mahasen,Mahasen,2022
The Ancient Science and Technology in Sri Lanka ,What was the construction used in the past to keep the standard and the coolness of drinking water?,Uraketa Lin(wells),Uraketa Lin(wells),2022
Historical Knowledge and Its Practical Application ,What is the inscription in which the rules for the protection of the environment were included?,Anuradhapura slab inscription,Anuradhapura slab inscription,2022
Historical Knowledge and Its Practical Application ,What is the main reason behind the inclusion of gruels (kenda) into their food by the Sri Lankans from early times?,It is easy to digest,It is easy to digest,2022
Kandyan Kingdom,The king who built Kandy as an independent kingdom for the first time was?,Sena Sammatha Wickramabahu,Sena Sammatha Wickramabahu,2022
Industrial Revolution,"What is the industry which developed as a result of its by-products such as paints, drugs, oil and fertilizer during the Industrial Revolution?",Coal industry,Coal industry,2022
Kandyan Kingdom,When Kandyan Kingdom was officially ceded to the British?,after the signing of the Kandyan convention in 1815,after the signing of the Kandyan convention in 1815,2022
National Renaissance in Sri Lanka,Who established the Zahira College in Colombo?,M.C. Siddhi Lebbe,M.C. Siddhi Lebbe,2022
National Renaissance in Sri Lanka,what is the publication published by the Church Missionary Organisation?,Masika Thegga,Masika Thegga,2022
Political Changes in Sri Lanka under the British,Who was given the voting right under the Donoughmore reforms?,to all above the age of 21 years,to all above the age of 21 years,2022
Political Changes in Sri Lanka under the British,Who was the first president of the Ceylon National Congress?,Ponnambalam Arunachalam,Ponnambalam Arunachalam,2022
The Ancient Society of Sri Lanka ,"Not a single drop of water that falls from the sky should be sent
the sea without properly using it. Who made this statement?",King Parakramabahu the Great,King Parakramabahu the Great,2022
Renaissance, Who painted Monalisa?,Leonardo Da Vinci /Da Vinci,Leonardo Da Vinci /Da Vinci,2022
Industrial Revolution,Who invented the method of sending messages through radio signals?,Guglielmo  Marconi /Marconi ,Guglielmo  Marconi /Marconi ,2022
Sources of Studying History,The earliest literary source which provides information on Sri Lankan history is?,Deepawamsa,Deepawamsa,2021
Sources of Studying History,By what name are the epigraphs that have been inscribed on rock surfaces called?,Giri Lipi,Giri Lipi,2021
Ancient Settlements ,The official who was called 'Pura Kamatha' in a Brahmi inscription was?,the chief architect in the city,the chief architect in the city,2021
Ancient Settlements ,"Where prehistoric man was considered to have lived, the earliest places are?",Pahiyangala and Kuruwita Batadombalena,Pahiyangala and Kuruwita Batadombalena,2021
Evolution of Political Power in Sri Lanka ,What was the concept of kingship used by Nishshankamalla?,Chakravarthi,Chakravarthi,2021
The Ancient Society of Sri Lanka ,What was the method adopted to prevent the draining of water inside a cave during rains when making caves suitable for living?,Making a drip ledge in the cave,Making a drip ledge in the cave,2021
The Ancient Society of Sri Lanka ,What was the port where Princess Hemamala and Prince Dantha landed with the Sacred Tooth Relic?,Lankapatuna/Lankapattana,Lankapatuna/Lankapattana,2021
The Ancient Science and Technology in Sri Lanka , What the function performed by the Ralapanawa is?,to prevent the erosion of the bund of the tank,to prevent the erosion of the bund of the tank,2021
Historical Knowledge and Its Practical Application ,What was the tax called 'dakapathi' imposed?,Use of tank water,Use of tank water,2021
Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West,During which reign did the revolt of Jothiya Sitana take place?,Parakramabahu VI,Parakramabahu VI,2021
Sri Lanka and the Western World,The ruler of Jaffna at the time of the arrival of the Portuguese was?,Pararajasekaram,Pararajasekaram,2021
Receiving of  Independence to Sri Lanka,In what name was House of Representatives called under the constitutional reforms in 1972?,National State Assembly,National State Assembly,2021
Political Changes in Sri Lanka under the British,A feature that was introduced by the Donoughmore constitution is?,universal franchise,universal franchise,2021
Receiving of  Independence to Sri Lanka,One objective of the Mahaweli Development Project was?,to generate electricity to meet the increasing demand for electricity,to generate electricity to meet the increasing demand for electricity,2021
Renaissance,"During the Renaissance, in what field did William Harvey become famous?",Medicine,Medicine,2021
World Wars and Conventions,The Asian country which invaded other countries of Asia during World War II was?,Japan,Japan,2021
Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West,"Who is the king  held the honorific title, Kalikala Sahitya Sarvagna Pandita? ","King Parakramabahu II, Parakramabahu the second","King Parakramabahu II, Parakramabahu the second",2021
National Renaissance in Sri Lanka,Who was the foreigner who made a pioneering contribution to establishment of Buddhist schools in Sri Lanka?,Sir Henry Steel Olcott,Sir Henry Steel Olcott,2021
Sources of Studying History,What is the educational institution that Ven. Mahanama who wrote the early part of Mah?vamsa lived?,Diksanda Seneviya Pirivena in Anuradhapura,Diksanda Seneviya Pirivena in Anuradhapura,2020
Sources of Studying History,What is the era that writing of inscriptions including historical information started in Sri Lanka?,Early Historic era,Early Historic era,2020
Sources of Studying History,What is the name used to identify the letters used in the early inscriptions of Anuradhapura period?,Brahmi,Brahmi,2020
Ancient Settlements ,What is the approximate number of years that is assumed from today to say that the Homosapian human beings lived in Sri Lanka?,One hundred and twenty five thousand years,One hundred and twenty five thousand years,2020
Ancient Settlements ,During which era did colonies expanded centering village tanks in dry zone?,Early historic era,Early historic era,2020
Ancient Settlements ,The livelyhood that followed by the people who lived in settlements expanded in the areas away from the river valleys during Early Historic era was?,chena cultivation,chena cultivation,2020
Evolution of Political Power in Sri Lanka ,The first ruler who transformed the political power of the Parumukas' into a centralized system of Government was ?,King Dutugemunu ,King Dutugemunu ,2020
Ancient Settlements ,What is the name used to identify the colonies established around harbours in ancient Sri Lanka?,Pattanagama,Pattanagama,2020
The Ancient Science and Technology in Sri Lanka ,What is the technological invention that was designed in Sri Lanka and considered to have expanded in South asia?,Sluice Gate,Sluice Gate,2020
The Ancient Science and Technology in Sri Lanka ,What is the tank where the Sluice Gate/Sluice of it is conserved as an ancient irrigation construction that consists very special technological knowledge?,M?duru-Oya,M?duru-Oya,2020
Historical Knowledge and Its Practical Application ,"After king Nissankamalla, the woman who represented the Pandyan family at the struggle for the crown that took place between the royal families of Kalinga and Pandya was?",Leelawathie,Leelawathie,2020
Sri Lanka and the Western World,The main reason for Kotte rulers to be unsuccessful in expelling the Portuguese from the Maritime provinces of Sri Lanka was? ,lack of a strong naval power for the Kotte rulers,lack of a strong naval power for the Kotte rulers,2020
Kandyan Kingdom,The individual who provided information through various means to Governor Brownrigg in order to subjugate the Kandyan kingdom in 1815 A.D. was ?,John Doyly,John Doyly,2020
Kandyan Kingdom,What is identified by the term 'Paravenigam' during the Kandyan period?,The land occupied by the villagers for generations,The land occupied by the villagers for generations,2020
World Wars and Conventions,The conference that was fundamental to prepare the Charter of the United Nations Organization was ?,San Fransisco,San Fransisco,2020
World Wars and Conventions,The world leader who received the attraction of the world for nationalizing the Suez canal and the assistance given to formulate the non-aligned organization is ?,Abdul Gamal Nassar,Abdul Gamal Nassar,2020
Renaissance,Who is the royal person in Portugal that sponsored Geographical Explorations?,Prince Henry / Henry the Navigator,Prince Henry / Henry the Navigator,2020
World Wars and Conventions,Name the Emperor of Japan who signed the final treaty that wind up the World War II?,Emperor Hirohito,Emperor Hirohito,2020
Sources of Studying History,What is the copper 'Sannasa' that provides information on king Vijayabahu I?,Panakaduwa copper plate,Panakaduwa copper plate,2020
Receiving of  Independence to Sri Lanka,Name the Minister who is honoured as the 'Father of Free Education' in Sri Lanka?,Mr. C.W.W. Kannangara,Mr. C.W.W. Kannangara,2020
Sources of Studying History,With regard to what subject area that numismatic is studied?,Old coins,Old coins,2019
Sources of Studying History,Regarding on what objective that most of the local literary sources which are important to study the history from Anur?dhapura period to the beginning of the Kot?e period were written?,Religious,Religious,2019
Ancient Settlements ,"To what kind of settlements that 'Minihagalkanda', which is considered, to be settlement of the pre-historic man is belong?",Outdoor camps in the coastal areas,Outdoor camps in the coastal areas,2019
Evolution of Political Power in Sri Lanka ,The main task assigned to Parumaka was?,working as a caretaker of the tank system,working as a caretaker of the tank system,2019
Evolution of Political Power in Sri Lanka ,The main effect of the development of kingship systematically was?,centralizing the power,centralizing the power,2019
Sri Lanka and the Western World,Main reason that many groups of people among various nations in the past had come to this country?,For trading purposes,For trading purposes,2019
The Ancient Society of Sri Lanka ,The message given to the society by the symbols of dog and crow in some inscriptions regarding the grants was?,that those who obstructed the grants will be born as those animals in the next birth,that those who obstructed the grants will be born as those animals in the next birth,2019
The Ancient Science and Technology in Sri Lanka ,"A distinctive creation which could be admired as a combination of artistic, water management and technology is ?",the Kuttam pokuna,the Kuttam pokuna,2019
Historical Knowledge and Its Practical Application ,The strategy used by the ancient rulers to seize a hiding criminal was?,getting a tax from the villagers where the criminal lived until they seize him,getting a tax from the villagers where the criminal lived until they seize him,2019
Kandyan Kingdom,Tradition followed by the rulers of the Nayakkar dynasty of the Kandyan kingdom regarding inheritance of kings after the king was his?,queen's brother becomes the king,queen's brother becomes the king,2019
Kandyan Kingdom,What was the duty assigned to the 'Madige badda' of the Badde structure of the administrative organization of the Kadyan kingdom?,transport affairs,transport affairs,2019
Industrial Revolution,Macadam method was used during the Industrial Revolution for?,constructing roads,constructing roads,2019
Significant Revolutions in the World,What is the historical incident which is related to the 'oaths in the tennis court' and the States General Council?,French Revolution,French Revolution,2019
World Wars and Conventions,The institution belongs to the United Nations Organization which has got the responsibility of imposing economic restrictions for keeping the international peace and security is?,the Security Council,the Security Council,2019
Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West,Who is the last ruler of the Anur?dhapura Kingdom?,Mihindu V /  Mahinda V,Mihindu V /  Mahinda V,2019
Sri Lanka and the Western World,"Who is the ruler of Calicut who supplied naval support to Mayadunna, king of Sithavaka?",Samorin,Samorin,2019
Sri Lanka and the Western World,"What is the present name of Constantinople city, which was an ancient trade centre?",Istanbul,Istanbul,2019
World Wars and Conventions,Who is the Egyptian President who nationalized the Suez canal?,Abdul Gamal Nazar / Gamal Nazaar,Abdul Gamal Nazar / Gamal Nazaar,2019
Sources of Studying History,Why the Mah?vamsa is specific ?,containing continuous political and religious informations,containing continuous political and religious informations,2018
Sources of Studying History,"In connection with what period of following, are the sources such as Sandesha Kavya, Prasasti Kavya and Hatan Kavya important in studying the history of Sri Lanka?",From the period of Kotte to Kandy,From the period of Kotte to Kandy,2018
The Ancient Society of Sri Lanka ,What the symbol 'sun-moon' has been used in the inscriptions to illustrate?,stability,stability,2018
Ancient Settlements ,"Where the place which is considered as the oldest place where the information of the pre-historic man has been found, is?",Pahiyangala lena,Pahiyangala lena,2018
Ancient Settlements ,In which period that the expansion of settlements connected with the small tanks system were begun outside the river valleys of the dry zone of Sri Lanka?,early historic period,early historic period,2018
Evolution of Political Power in Sri Lanka ,Who was in charge of the small tank systems?,Parumaka,Parumaka,2018
Evolution of Political Power in Sri Lanka ,Which king constructed a full fledged capital for an organizational centralized administration?,Panduk?bhaya.,Panduk?bhaya.,2018
The Ancient Science and Technology in Sri Lanka ,What used to show the name 'Gauta Pillars' (Gauto Kanu) during the Polonnaruva period?,the distance of the roads,the distance of the roads,2018
The Ancient Science and Technology in Sri Lanka ,"An example to show that in the architectural creations which were constructed to bear a large weight, a method similar to the modern concrete technology has been used, is seen in",the foundation of Ruvanweli Säya,the foundation of Ruvanweli Säya,2018
Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West,Which of the following ruling period mentions the invasion of a Chinese army to this country under the General Cheng-Ho?,Gampola,Gampola,2018
Sri Lanka and the Western World,For what trade commodity did the European nations involve in a hard competition to get from Sri Lanka?,Cinnamon,Cinnamon,2018
Receiving of  Independence to Sri Lanka,"According to the constitution of 1978, when the fundamental rights and comprehensive freedom of a citizen is violated, a person should forward a petition to",Supreme court.,Supreme court.,2018
World Wars and Conventions,Who was the first ruler to ventured with the aim of establishing a German Empire ?,William Keizer II,William Keizer II,2018
World Wars and Conventions,What is the name of the theory that acts tactfully without mediating to warfare for the success of their own political block?,Cold War,Cold War,2018
World Wars and Conventions,Who was the Yugoslavian President who worked as a pioneering leader in establishing the Non-Aligned Movement?,Marshal Tito,Marshal Tito,2018
The Ancient Society of Sri Lanka ,What is the name used by the Arabs to describe Sri Lanka ?,Sarandib,Serendib,2018
World Wars and Conventions,The despotic ruler (dictator) who used the armed soldiers named 'Black Shirt Army' to destroy those who were against the Fascism was?,Benito Mussolini,Benito Mussolini,2018
The Ancient Society of Sri Lanka ,What is the name of the mercenary army of king Vijayab?hu I?,Welayikkar Army,Welayikkar Army,2018
Sri Lanka and the Western World,Who is the Portuguese navigator who came to India in 1498 A.D.?,Vasco de Gama,Vasco de Gama,2018
World Wars and Conventions,What is the name of British Prime Minister who gave the leadership to allied parties during the World War II?,Sir Winston Churchill,Sir Winston Churchill,2018
World Wars and Conventions,What is the name of Emperor who ruled Japan during the World War II?,Emperor Hirohito,Emperor Hirohito,2018
