input_text,target_text
"task: emotion
chapter: 6. Receiving of Independence to Sri Lanka
topic: Social Welfare
source: Even the very poor people received a political value because Sri Lanka got the universal franchise in 1931... [full text on universal franchise 1931 giving political value to poor ? politicians focused on public needs; post-1948 social justice,inequality solutions: rural education, merit-based jobs, constitutional rights,freedom,sovereignty, agriculture,fisheries support. Health: rural hospitals, midwifery,maternity,paediatric, immunization, clinics, indigenous medicine ? decline in influenza,filariasis,malaria,TB,polio. Transport,communication: rural roads extended city benefits (water,electricity). Food concessions (rice Hal Potha coupon book ? 1977 stamps) due to WWII,import issues,poverty,land scarcity. Housing: urban flats,complexes, rural aid,projects.]",hopeful
"task: narrate
chapter: 7. Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West
topic: Grade 10: The First Urbanization
source: By 450 B.C. the social stratification of our country had become complete to a certain extent. Early inscriptions substantiate that there were a large number of chieftains who owned production surplus, spread in the dry zone by that time. The number of the persons introduced by the name of Parumaka in the inscriptions so far is numerous. These chieftains had been organized as families. One of the strategies that these families used to show and keep their power and prestige was using articles imported from foreign countries. Some articles such as imported earthenware and beads have been discovered from excavations done in the ancient cities such as Anuradhapura and Tissamaharama. These things were exchanged as a result of joining the foreign trade. As Sri Lanka participated actively in the international trade activities operating then in the Indian Ocean, an immense wealth came into the country. The minority who was the owners of the production surplus were able to live a luxurious life as they were free from other external problems. Since the influx of income needed to be administered, the requirement of a mechanism of administration was felt. T he groups who became the chieftains","By 450 BC, social stratification grew from surplus-owning Parumaka chieftains in the dry zone, displaying wealth via imported goods (earthenware,beads from Anuradhapura,Tissamaharama excavations). Indian Ocean trade brought riches, enabling luxurious lives for elites and needing administrationleading to planned cities with markets, temples, parks, moats, tanks. Pandukabhaya designed Anuradhapura (Mahawamsa), self-sufficient for ~1400 years via farming, iron, irrigation; Magama mirrored southern culture. Post-6th century AD, Arab trade shifted east; after 9th century, focus on Southeast Asia,China prompted Vijayabahu I to choose Polonnaruwa near eastern ports. Parakramabahu I era showed Southeast Asian influence: royal marriages (Burma,Cambodia), art like Gal Viharaya Buddhas and Sathmahal Prasada."
"task: emotion
chapter: 7. Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West
topic: Grade 10: The Second Urbanization
source: When the prosperous cities existing in the dry zone declined, several cities, especially outside the dry zone, emerged in the South-eastern areas in no time. The emergence of these cities is a result of another process of urbanization. Operating several ruling centres due to decentralization of political power, growth of new harbours, reflecting a new intelligence awakening due to the rebirth of literature provide a sufficient base to introduce this process as a second urbanization. Another important trend that should be taken into consideration regarding the advancement of urbanization during this time is setting up of new trade relations network and widening of commercial activities with that. When we compare the cities originated in the second urbanization process with the great cities that existed in the previous era, the main feature that could be seen is that the plans of the cities developed in the second urbanization had freed from the geometric structures of the previous ones. Even in the size, they were not as large as the Anuradhapura and Polonnaruwa ones. The scholars point out the reason for that is the decentralization of power after the second urbanization. Dambadeni",resilience
"task: sound_effects
chapter: 2.Establishment of British Power in Sri Lanka
topic: British Focusing on Sri Lanka
source: The English did not pay any attention to Sri Lanka for about a century after they came to India... [full text on delayed interest due to Portuguese,Dutch forts, renewed focus post-Mughal decline (18th century), two reasons: strategic location (near India,Bay of Bengal, Trincomalee harbor for ship repair,monsoon protection,naval dominance), high-quality cinnamon + other spices (pepper,cardamom,cloves,pearls,gems,ivory) monopoly desire. Diplomatic missions: John Pybus (1762 Keerthi Sri Rajasinghe), Hugh Boyd (1782 Rajadhirajasinghe), Robert Andrews (1795) after Trincomalee capture. Early missions failed (no anti-Dutch help); Andrews sought Kandyan alliance vs. Dutch but English kept gains.]","ocean_waves, ship_cannon_fire, distant_horns, gentle_wind, temple_bells, chime"
"task: emotion
chapter: 7. Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West
topic: Grade 10: Arts and Architecture
source: A lot of architecture could be seen in the cities, which were created from Yapahuwa period to Kotte period. It is a special feature that these creations have been influenced by the South Indian architecture. It is believed that the steps in the Yapahuwa kingdom and creations of its posts have had the Pandyan and Cambodian influences. It could clearly be noticed that the contemporary South Indian architectural styles had influenced the Pilimageya (Idol-house) at the Gadaladeniya temple which belonged to the Gampola period. Another feature that could be seen in these periods is constructing Devals connecting to the Pilimageyas (Idol-houses). One example for this is that a Devala has been built for God Upulvan connecting to the Gadaladeniya Pilimageya. Devalas have been built connecting to Lankathilaka Pilimageya too. Having Devalas in the idol-houses is a proof that displays that the Hindu and Mahayana ideas influenced the architecture. The Embekke Devala, which was constructed by king Wickramabahu III during the Gampola period is a valuable construction with wood carvings. Its magnificence is displayed by its posts with beautiful wood carvings and its wooden roof. There are a lot of",wonder
"task: narrate
chapter: 4. The Ancient Society of Sri Lanka
topic: Grade 10: The Nature of Ruling
source: The historical sources say that kings ruled our country in the ancient times. The inscriptions mention very important information about the procedure of the statesmanship followed in ruling the country. There are three institutions which handle the ruling of any country. They are called the legislature, the executive and the judiciary. The government means these three institutions. The legislature is the institution which makes laws in a country. As it is done by the parliament of our country today, in the ancient time it was done by the kings court. The executive is the institution which implements laws. The government officers are engaged in that process. The judiciary provides the justice to the countrymen by preventing the damage caused to the society due to breach of law. In the ancient time there were an executive as well as a judiciary in our country. The executive acted as the legislature too. There was not an independent body as a separate legislature, because then there was monarchism in this country. The inscriptions written in 9th century A.D. had used the word Ekthensamiya to name the executive and the legislature. In an inscription in the place called Buddhannehela","In ancient Sri Lanka, kings ruled through a centralized system combining legislature, executive, and judiciary, with the kings court (Ekthensamiya) acting as both lawmaker and executor, as seen in 9th-century inscriptions like Buddhannehela, where land grants required royal decrees. The judiciary (Sabhawa), represented by officers like Udaya and Sena, handled legal land transfers, as in Anuradhapuras Kerelegama grant to Mahindarama nunnery. Secretaries (Mahale), like Kashyapa under King Sena II, documented state affairs. Provincial administration involved ministers, like Rishigiri in Nagadeepa under Vasabha, and local councils (Dasagam Ettan) managed ten villages, resolving issues like temple alms at Kaludiya Pokuna. Kings prioritized public welfare, building hospitals (Vejjasala) since the 2nd century BC, with Buddhadasa (340368 AD) and Mahinda V (9821029 AD) expanding them, Kashyapa IV (898914 AD) creating a fever hospital (Upasaggaroganasa), and Upatissa I (365406 AD) establishing maternity hospitals (Thimbirige). Kings maintained foreign relations with India, China, Rome, and Arabia, fostering trade and diplomacy, such as Gajabahu Is (114136 AD) visit to Chera, Bhatikabhayas (23 BC7 AD) mission to Rome, Aggabodhi VIs 20 missions to China, and Vijayabahu Is (10701110 AD) marital alliances with Kalinga and Pandya, alongside hiring Veleikkara mercenaries, ensuring peace, welfare, and territorial integrity."
"task: sound_effects
chapter: 8.  World Wars and Conventions
topic: League of Nations Union
source: The necessity of establishing an international organization to avoid such wars and maintain peace and security in the world was highlighted in the peace talks held in Paris in 1919... [full text on League of Nations (Jan 10 1920, 42 founding members, Woodrow Wilson pioneer); objectives (peaceful conflict resolution, prevent wars, international harmony, protect small nations sovereignty,freedom, collective security); successes (prevented Sweden-Finland, Germany-Poland, Greece-Bulgaria, Iran-Turkey wars; refugee rehabilitation; mandate supervision; anti-slavery,drugs); failures (U.S. non-membership, no enforcement power,military, disunity among powers, ignored Germany exit, ineffective vs. Italy Abyssinia,Japan Manchuria, led to WWII).]","solemn_wind, distant_crowd_murmur, ticking_clock, soft_bell"
"task: narrate
chapter: 10. Sri Lanka and the Western World
topic: Grade 10: Arrival of the Portuguese in Asia
source: There were three main routes through which Asia and Europe continued their trade relations from the distant past. 1. The Silk Route which led from the city of Constantinople through Persia, the Central Asia to China. 2. The route which led from Constantinople to Egypt through the Mediterranean Sea, Red Sea to the Indian Ocean. 3. The route which led from Constantinople through Bagdad, the Persian Gulf to the Western coast of India. They used ships in the sea and the caravans on land to transport the commodities when they made their trade relations. By the mediaeval period, the monopoly of trades in Asia was in the hands of the Muslims. The Muslims made a great profit by collecting the commodities including spices in Asia and selling them to Europeans. As all three trade routes above mentioned had connected with the city of Constantinople, that city which was under the European Christian believers, had become the main centre of the East and West trading. But, when this city was captured by the Turks who followed the Islam religion in 1453, it was a great blow to the traditional trading between Asia and Europe. The European Christians suffered a great loss, due to the capture of the ","Three ancient trade routes linked Asia-Europe: Silk Route (land via Persia,Central Asia), Mediterranean-Red Sea-Indian Ocean, Baghdad-Persian Gulf-India. Muslims controlled Asian trade by mediaeval times, profiting from spices sold to Europeans via Constantinople. Ottoman Turks captured Constantinople (1453), blocking routes, raising pricespushing Europeans to find new sea paths. Portugal, Atlantic-facing and seafaring, led under Prince Henry the Navigators school (navigation,astronomy). Vasco da Gama reached Calicut (1498) rounding Africa, starting 450-year European dominance (Portuguese, Dutch, English, French). Portuguese goals: Economic (seize Muslim spice monopoly) + religious (spread Catholicism, defeat Muslims). Vasco da Gama: We seek Christians and spices. Later fleets built warehouses, sent priests."
"task: narrate
chapter: 6. Receiving of Independence to Sri Lanka
topic: Development after Independence
source: After the independence in 1948 politicians of this country had the responsibility of handling the economy of the country that had been used for the benefit of the British colonists for the betterment of the people... [full text on post-1948 agricultural development (paddy: State Council efforts, D.S. Senanayake settlements, Gal Oya multi-purpose, Mahaweli project objectives,stages,fast-track 19771979, reservoirs,dams,canals); other paddy steps (guaranteed price, research,BG,BG varieties, Govijana Sewa Centres, bank loans); commercial crops (tea,rubber,coconut continuation, land reforms 1972,1975, state institutions, minor exports research); industrialization (no pre-independence focus, WWII import substitution, 1952 World Bank, 1955 white paper, Ekala,Ratmalana zones 1959,1960, Peoples Bank 1961, Standards Bureau 1966, import substitution 19701977, export-oriented post-1977 (GCEC 1978, Katunayake,Biyagama,Koggala zones), mega industries (cement,steel,sugar,plywood); education (free policy from Kannangara, post-1948: school expansion, curriculum,teacher training, labs,libraries, free books,meals,uniforms,transport, professional,higher education (Ceylon Univ 1942 ? Peradeniya 1952","Post-1948 agricultural focus: Paddy development (D.S. Senanayake settlements, Gal Oya multi-purpose, Mahaweli project 1970s fast-track, reservoirs,dams,canals, guaranteed price, research,new varieties, Govijana Centres, loans). Commercial crops: tea,rubber,coconut continuation, land reforms 1972,1975, minor exports research. Industrialization: WWII import substitution, 1952 World Bank, 1955 white paper, Ekala,Ratmalana zones, Peoples Bank 1961, Standards Bureau 1966, import substitution 19701977, export-oriented post-1977 (GCEC,Katunayake etc.), mega industries. Education: Free policy (Kannangara), school expansion, curriculum,training, free books,meals,uniforms,transport, higher education (Peradeniya, Vidyodaya,Vidyalankara, Moratuwa, Jaffna)."
"task: emotion
chapter: 3. Evolution of Political Power in Sri Lanka.
topic: Grade 10: Pre-state Era
source: According to the interpretation given above, the foundation of a state in the Sri Lankan history developed at a later time. It has been described in the next parts of this lesson. Here, the attention has been paid to explain the nature of the ruling system that existed in Sri Lanka before it became a state. That period is called pre-state era. T here was no one definite ruler to rule this country during the pre-state period. Instead, a group of wealthy chieftains dominated their power over small areas. At the beginning of writing inscriptions in this country these chieftains were introduced in them by the name of Parumaka. The word Parumaka is derived from the Sanskrit word Pramukha. Its meaning is main. They were given the power to rule a large or a small area based on the power they possessed as a result of their wealth. T here is an inscription, which assists us to show that the Parumakas had a certain provincial power, in Kothgalakanda in the Kandalama area close to Dambulla. That inscription belongs to 250 B.C. A Parumaka who offered a cave to the bikkus has been introduced as Thota Bojaka. Its meaning is Theerthaya Anubhava Karanna. Theerthaya means the port. ",neutral
"task: narrate
chapter: 4. Political Changes in Sri Lanka under the British
topic: Donoughmore Constitution 1931
source: The Donoughmore Commission which was headed by Lord Donoughmore came to Sri Lanka in 1927 and got the views of the Sri Lankans... [full text on Donoughmore Commission 1927 ? 1931 Constitution: State Council 61 members; universal adult franchise (21+ males,females, no wealth,education qualification); Executive Committee system (7 committees,ministers: Home, Agriculture, Local Admin, Health, Education, Transport, Labour,Industry,Commerce); governor retained external affairs, finance, law portfolios; reduced governor power but officials controlled key areas. 1912 limited franchise ? 4% voters; 1931 universal franchise victory. Cabinet projects: agricultural villages, free education.]","Donoughmore Commission (1927) ? 1931 Constitution (effective 1931): State Council (61 members); universal adult franchise (all 21+ males,females, no property,education requirementmajor victory). Executive Committee system: Council divided into 7 committees (Home Affairs, Agriculture, Local Admin, Health, Education, Transport,Common Works, Labour,Industry,Commerce); chairpersons became ministers. Governor retained external affairs, finance, law; reduced power but officials controlled key portfolios. Cabinet launched beneficial projects (agricultural villages, free education)."
"task: sound_effects
chapter: 3.National Renaissance in  Sri Lanka
topic: Buddhist Renaissance
source: There was a necessity of replying to what the missionaries said about traditional religions... [full text on Buddhist response to missionaries (criticism of statue worship), need for native language education; Parama Dhamma Chethiya Pirivena (Walane Siddhartha), Vidyodaya (Hikkaduwe Sumangala 1873), Vidyalankara (Ratmalane Dhammaloka 1875); publishers (Lankopakara 1862 Galle, others); magazines,newspapers (Lakmini Pahana, Sarasavi Sandaresa etc.); public debates (Migettuwatte Gunananda, Five Great Debates 18651873, Panadura 1873 ? Olcott); Buddhist schools (Olcott,Colombo Buddhist Theosophical Society 1880, Ananda,Dharmaraja,Mahinda etc.); Vesak holiday,Buddhist flag; patriotism,nationalism (Dharmapala,Harischandra,Sirisena,De Silva); protection of sacred places (Anuradhapura,Polonnaruwa, Ruwanweli Seya ~1870); temperance movement (against alcohol via preaching,novels,drama).]","temple_bells, printing_press_clank, passionate_debate_chant, gentle_wind_through_leaves, soft_chant, chime"
"task: sound_effects
chapter: 1.Sources of Studying History
topic: Grade 10: Importance of Learning History
source: History is a subject which is linked with the study of sources. It could be studied with curiosity too. T herefore, one who studies history naturally tends to read books. Since the reader comes across with diverse facts, ideas, and opinions in reading books, his or her critical sense gets developed. Therefore, he or she tends to think of anything with a logical mind and this will help him or her to understand the problems properly. When the problems are understood properly, he or she will tend to find solutions to those problems creatively. Therefore, when one learns history, it helps him or her to develop his or her personality. Apart from these, one will gain the benefits given below by studying history. 1. Proper understanding of society and the world in which one lives 2. Constructing future by understanding the present through the past experiences 3. Recognizing the national identity 4. Building up national reconciliation by loving humanity 5. Respecting others cultures 6. Tolerating different views","soft_background_music, thoughtful_chime, gentle_wind"
"task: narrate
chapter: 7. Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West
topic: Grade 10: Background of the Urban Life
source: The first urbanization in Sri Lanka is reflected by Anuradhapura which belongs to the North Central dry zone and ancient Magama city which had belonged to Southern and South eastern part of Sri Lanka. There were basic signs of development in these two cities by about 450 B.C. That does not mean by then the things such as walls, moats, and streets, which were essen tials for a city, had been constructed. A popula tion with a life condition which is needed for a city could be seen. You learnt in the second lesson that there is evidence, which goes back to 2400 B.C., that reflects that the proto-historical community who lived in this country abandoned their nomadic hunting life style and got used to an agricultural life style. The major change that occurred as they got used to agriculture was that they started to stay in one place for a long time. This was the basic reason for the origin of the most ancient villages in this country. Those who lived in these basic villages were engaged in agriculture and animal husbandry as their livelihood. They engaged in hunting too. Due to agriculture and animal husbandry their food safety was ensured. Unless those people, who were engaged in those","Sri Lankas first cities emerged around 450 BC in Anuradhapura (North Central dry zone) and Magama (South,Southeast), showing urban populations though without full walls,moats,streets yet. From proto-historic era (~2400 BC), people shifted from nomadic hunting to settled agriculture and animal husbandry, forming villages. Fertile land and good water yielded surplus grain (Athirikthaya), creating wealthy farmers who became village leaders (like Parumaka). Poor harvests left some borrowing paddy, as in Jathaka Attakatha story. This economic divide (rich,poor) led to social stratification, a key driver of urbanization."
"task: narrate
chapter: 3.National Renaissance in  Sri Lanka
topic: Hindu Religious Renaissance
source: There was a religious and a cultural renaissance among the Hindus of this country due to the challenge created to Hinduism as a result of the perpetuation of missionaries... [full text on Arumuga Navalar leading Hindu response: missionary school background, presses (Udayabhanu newspaper), Tamil textbooks, translations (Periya Puranam, Skandha Puranam), Wannaponai Shaiwa Prakasha College (1849), later schools (Shiwangala,Hindu Vidyalaya 1872); successors Sir Ponnambalam Ramanathan (voiced for Buddhists 1915) & Ponnambalam Arunachalam (Sri Lanka National Congress 1919 with Sinhalese).]","Hindu renaissance led by Arumuga Navalar (missionary-educated, anti-Christian preacher): Started press,newspaper (Udayabhanu), wrote,translated Tamil textbooks,Puranas, founded Wannaponai Shaiwa Prakasha College (1849) for Hindu culture education. Later: Shiwangala,Hindu Vidyalaya (1872). Successors: Ponnambalam Ramanathan (supported Buddhists 1915), Ponnambalam Arunachalam (co-founded National Congress 1919 with Sinhalese for political rights)."
"task: sound_effects
chapter: 10. Sri Lanka and the Western World
topic: Grade 10: Sri Lanka and the Dutch
source: Holland is the motherland of the Dutch... [full text on Dutch arrival, VOC company 1602, alliance with Rajasinghe II, 1638 agreement, capture of Portuguese forts 16381658, Dutch betrayal (keeping forts), Rajasinghe IIs counter-attacks 16701675, peaceful policy afterward, cinnamon monopoly, conflicts under Keerthi Sri Rajasinghe (17611766 invasions, Matara,Negombo rebellions, 1766 peace pact losing coastal strip)]","ocean_waves, cannon_fire, clinking_coins, distant_drums, gentle_wind, chime"
